,mean_df1,std_df1,mean_df2,std_df2,mean_diff,abs_mean_diff,z-score
fraud,0.5094339622641509,1.7999376724434892,0.000999000999000999,0.0316069770620507,0.50843496126515,0.50843496126515,16.08616225041048
hacking,0.6819407008086253,2.204705657068975,0.001998001998001998,0.04467666052878164,0.6799426988106233,0.6799426988106233,15.21919254400382
commit,0.4716981132075472,1.0006117455710826,0.000999000999000999,0.0316069770620507,0.47069911220854616,0.47069911220854616,14.892253418745849
malware,0.4582210242587601,2.119473689052028,0.000999000999000999,0.0316069770620507,0.4572220232597591,0.4572220232597591,14.465857407437051
provocative,0.37735849056603776,1.017641432259265,0.000999000999000999,0.0316069770620507,0.37635948956703674,0.37635948956703674,11.907481339584269
stealing,0.3638814016172507,1.0601835776547575,0.000999000999000999,0.0316069770620507,0.36288240061824967,0.36288240061824967,11.481085328275473
vulnerabilities,0.3557951482479784,1.1520076956753873,0.000999000999000999,0.0316069770620507,0.3547961472489774,0.3547961472489774,11.225247721490193
trading,0.3908355795148248,1.8382783080256657,0.001998001998001998,0.04467666052878164,0.3888375775168228,0.3888375775168228,8.703371579581814
illegal,1.0080862533692723,1.6981514124386188,0.00999000999000999,0.11789868489554878,0.9980962433792623,0.9980962433792623,8.46571142217164
theft,0.5660377358490566,1.7422663676572117,0.002997002997002997,0.07064707347802165,0.5630407328520536,0.5630407328520536,7.9697672547924565
journalist,0.2371967654986523,0.8039206035762329,0.000999000999000999,0.0316069770620507,0.2361977644996513,0.2361977644996513,7.4729628219727795
hack,0.23450134770889489,0.8801080749810375,0.000999000999000999,0.0316069770620507,0.2335023467098939,0.2335023467098939,7.38768361971102
steal,0.2830188679245283,0.849933254721144,0.001998001998001998,0.04467666052878164,0.2810208659265263,0.2810208659265263,6.290104555721813
ethical,3.056603773584906,2.889782242219157,0.09090909090909091,0.47193990372426947,2.965694682675815,2.965694682675815,6.284051548242295
unethical,0.6765498652291105,1.074503007463115,0.011988011988011988,0.10888592129446238,0.6645618532410985,0.6645618532410985,6.103285395766736
network,0.4528301886792453,1.7659883752042227,0.004995004995004995,0.08351661496387994,0.4478351836842403,0.4478351836842403,5.362228628134945
discourse,0.15902964959568733,0.5188793815830796,0.000999000999000999,0.0316069770620507,0.15803064859668634,0.15803064859668634,4.999865956381756
attack,0.31805929919137466,1.2525314935841125,0.003996003996003996,0.06311906197034287,0.3140632951953707,0.3140632951953707,4.975728177692763
moral,0.33153638814016173,0.7819259387386536,0.004995004995004995,0.07053385694136521,0.32654138314515674,0.32654138314515674,4.62956936293177
bomb,0.13746630727762804,0.7952378843972734,0.000999000999000999,0.0316069770620507,0.13646730627862705,0.13646730627862705,4.317632338287681
guide,0.6981132075471698,2.2685801484303165,0.022977022977022976,0.15643378302505015,0.6751361845701468,0.6751361845701468,4.315795293795557
legal,0.8921832884097035,1.406247961234691,0.024975024975024976,0.21065522631927358,0.8672082634346785,0.8672082634346785,4.116718481602346
neutrality,0.5417789757412399,1.296671858171142,0.014985014985014986,0.12951920620211033,0.5267939607562249,0.5267939607562249,4.067303809244946
exploiting,0.12129380053908356,0.4751721707195484,0.000999000999000999,0.0316069770620507,0.12029479954008257,0.12029479954008257,3.805957124717124
committing,0.16442048517520216,0.5066326309214187,0.001998001998001998,0.04467666052878164,0.16242248317720018,0.16242248317720018,3.635510829475811
credentials,0.11590296495956873,0.4986906437124326,0.000999000999000999,0.0316069770620507,0.11490396396056773,0.11490396396056773,3.6353987201936047
advisor,0.16172506738544473,0.5206453790193977,0.001998001998001998,0.04467666052878164,0.15972706538744275,0.15972706538744275,3.5751791538793105
ethics,0.49865229110512127,0.8955585998687025,0.013986013986013986,0.14072738114594402,0.48466627711910726,0.48466627711910726,3.444008359797976
descriptive,0.33153638814016173,1.18802700881433,0.008991008991008992,0.09444088584443137,0.3225453791491527,0.3225453791491527,3.415315054122518
crime,0.1509433962264151,0.8471688459475538,0.001998001998001998,0.04467666052878164,0.1489453942284131,0.1489453942284131,3.3338524514933106
identity,0.5363881401617251,1.9893355947148548,0.017982017982017984,0.16023833397886936,0.5184061221797072,0.5184061221797072,3.235219122086413
repercussions,0.09973045822102426,0.3421315261780542,0.000999000999000999,0.0316069770620507,0.09873145722202327,0.09873145722202327,3.1237235066230484
stolen,0.09973045822102426,0.6047335197039877,0.000999000999000999,0.0316069770620507,0.09873145722202327,0.09873145722202327,3.1237235066230484
speculative,0.5040431266846361,1.2178225310175457,0.01998001998001998,0.16000124874637572,0.48406310670461616,0.48406310670461616,3.025370804898677
encryption,0.2183288409703504,1.5168560692480348,0.004995004995004995,0.07053385694136521,0.21333383597534541,0.21333383597534541,3.0245593425110697
exploit,0.20215633423180593,0.6971724260968509,0.004995004995004995,0.07053385694136521,0.19716132923680094,0.19716132923680094,2.795272196736684
ideological,0.0862533692722372,0.42629735905024313,0.000999000999000999,0.0316069770620507,0.08525436827323621,0.08525436827323621,2.6973274953142514
such,2.105121293800539,2.073579142020151,0.2987012987012987,0.672077608381883,1.8064199950992403,1.8064199950992403,2.68781458059351
caught,0.2991913746630728,0.8314587594596374,0.00999000999000999,0.10908757903675331,0.2892013646730628,0.2892013646730628,2.6510934354462696
cybersecurity,0.20754716981132076,0.5995919060911984,0.005994005994005994,0.07722717115132448,0.20155316381731478,0.20155316381731478,2.609873711706687
rhetorical,0.2776280323450135,0.9218141817039062,0.004995004995004995,0.1047617533980077,0.2726330273500085,0.2726330273500085,2.602409930217847
responsible,0.5417789757412399,1.4501653455363714,0.029970029970029972,0.2027335667838434,0.5118089457712099,0.5118089457712099,2.524539738981191
ethically,0.19946091644204852,0.4743128520043023,0.005994005994005994,0.07722717115132448,0.19346691044804254,0.19346691044804254,2.505166349664026
legitimate,0.22911051212938005,0.6357068984422257,0.005994005994005994,0.08924144756802169,0.22311650613537407,0.22311650613537407,2.5001444084074276
policy,0.7628032345013477,1.5308774066370148,0.04595404595404595,0.2896309960727855,0.7168491885473017,0.7168491885473017,2.4750430660644986
cheating,0.07816711590296496,1.0407029246630375,0.000999000999000999,0.0316069770620507,0.07716811490396397,0.07716811490396397,2.441489888528973
